Date,Open,High,Low,,Close,Volume
23-12-2019,356,360.649994,353.299988,,352.433502,97252
24-12-2019,353.299988,369.75,353.299988,,363.228821,788900
26-12-2019,367.549988,376.5,363,,368.131317,591741
27-12-2019,375.100006,386.75,372.25,,375.658325,1175633
30-12-2019,380,382.850006,370.549988,,371.201538,229085
31-12-2019,372,377.600006,368.200012,,369.517883,179934
01-01-2020,370.100006,379,370.100006,,371.152039,172951
02-01-2020,375.049988,389.700012,371.799988,,381.0065,505078
03-01-2020,385.850006,388,377.25,,382.739716,286109
06-01-2020,383.649994,384.549988,365.399994,,363.72403,315307
07-01-2020,370,379,370,,371.201538,210161
08-01-2020,368.100006,383.899994,365.100006,,376.203064,257953
09-01-2020,386.799988,399,381.600006,,386.255615,797502
10-01-2020,392,398.899994,390.700012,,390.910492,294132
13-01-2020,398.950012,400,385.399994,,385.809906,223295
14-01-2020,390.600006,397.649994,387.25,,385.413757,231974
15-01-2020,388.850006,394.75,385.600006,,386.404175,182183
16-01-2020,392.700012,393.649994,383.100006,,380.808411,162559
17-01-2020,384,395,376.100006,,387.394562,329455
20-01-2020,398,398.200012,387.5,,390.019104,298396
21-01-2020,391,396,386.950012,,385.611847,159955
22-01-2020,392.850006,395.700012,389.649994,,387.345062,153483
23-01-2020,386.700012,406.200012,386.700012,,398.189911,661750
24-01-2020,402.950012,405,395,,395.664398,284548
27-01-2020,398,404.899994,397,,396.011047,251055
28-01-2020,403.899994,409.600006,395.299988,,397.001434,384610
29-01-2020,403.799988,404.700012,397.350006,,395.416809,215183
30-01-2020,401.700012,401.700012,392,,390.068665,267826
31-01-2020,395.649994,398.5,377.049988,,379.917053,323462
03-02-2020,375.799988,414.899994,375,,405.46936,814556
04-02-2020,420,423,400.5,,400.616394,1532615
05-02-2020,408.950012,414,402.5,,404.379913,390177
06-02-2020,412.950012,412.950012,396,,393.386505,468159
07-02-2020,400,408.950012,393.200012,,400.814484,660633
10-02-2020,408.25,418.799988,404,,406.608307,883560
11-02-2020,413.149994,418.799988,409.100006,,409.331909,517233
12-02-2020,415.5,428.850006,407.100006,,422.603271,755115
13-02-2020,426.700012,432.5,421.549988,,423.494629,515963
14-02-2020,430,464.899994,424.049988,,455.434998,2016075
17-02-2020,459.899994,462.350006,445.700012,,449.938263,436983
18-02-2020,453.700012,491.549988,431.75,,478.065613,1436290
19-02-2020,485,499,475.200012,,478.85791,927418
20-02-2020,480,491.700012,476.649994,,479.254059,497872
24-02-2020,481.700012,489.75,465,,463.259125,533632
25-02-2020,472.5,518.099976,465.100006,,501.488556,2517684
26-02-2020,500.25,520.799988,496,,496.63559,2054528
27-02-2020,504,511.100006,473,,489.55423,945565
28-02-2020,470,482,458,,457.465302,888153
02-03-2020,483,524,470.399994,,500.250549,2380603
03-03-2020,512.799988,537.849976,510.200012,,527.833191,2231123
04-03-2020,542.5,542.5,498.149994,,516.790161,1370234
05-03-2020,527,530,514,,514.858887,730753
06-03-2020,490,523,488.049988,,514.01709,917859
09-03-2020,508.799988,508.799988,463.450012,,485.889771,987903
11-03-2020,490.600006,509,470.75,,470.637604,806500
12-03-2020,445,450,390,,435.280365,2091687
13-03-2020,377,484.600006,370.100006,,464.200012,1434830
16-03-2020,441,448.899994,419.299988,,429.25,856960
17-03-2020,425,447,402.600006,,410.899994,726172
18-03-2020,415,427.549988,358.5,,363.100006,840150
19-03-2020,335,381.600006,310,,341.549988,1974070
20-03-2020,360,399,349,,377.899994,1116097
23-03-2020,331,349,311,,324,710311
24-03-2020,350,388,314.049988,,336.149994,856432
25-03-2020,336.149994,365.5,328,,362,579453
26-03-2020,372,417,364.5,,388.200012,1457424
27-03-2020,400,410,374.5,,376,661220
30-03-2020,372.950012,372.950012,345,,364.950012,462838
31-03-2020,376.399994,399,369,,385.049988,1232891
01-04-2020,383.5,399.850006,377,,380.450012,572192
03-04-2020,385,388.700012,358.399994,,379.850006,445088
07-04-2020,395,439.700012,384.799988,,432.399994,1374363
08-04-2020,439.950012,465,432.5,,435.350006,1023668
09-04-2020,452,493.799988,451.049988,,469.950012,1850128
13-04-2020,474.549988,488.5,447.049988,,458.049988,703765
15-04-2020,465,477.299988,436,,446.850006,714307
16-04-2020,470,474.899994,457.25,,466.25,614073
17-04-2020,475.600006,479.5,463.25,,469.600006,485485
